query prob stratum label
0 0.9553274873354626 1 1
1 7.505217213936908e-07 0 0
2 2.2837977133354778e-08 0 0
3 0.045216512977590134 0 0
4 0.0027695016299401107 0 0
5 3.3440009611215938e-06 0 0
6 1.439634503994248e-10 0 0
7 0.053619293601908063 0 0
8 0.988868469685382 1 1
9 2.3745787746287956e-05 0 0
10 0.005210254250766303 0 0
11 0.0006142186004059627 0 0
12 0.00018742536624570178 0 0
13 0.00026528859058342843 0 0
14 0.012317753296795747 0 0
15 0.000231149892689032 0 0
16 0.0016467045909866389 0 0
17 2.0022263829017808e-06 0 0
18 0.0015460722374442577 0 0
19 0.0005810338180245412 0 0
20 0.04093517866496443 0 0
21 0.022690769034120352 0 0
22 0.0028263162507875376 0 0
23 0.00014605338808007176 0 0
24 0.00046348934888845473 0 0
25 0.16049773432109637 0 0
26 0.007977029839086264 0 0
27 0.0017337548404945554 0 0
28 5.738826617645552e-05 0 0
29 0.0002505499707259731 0 0
30 1.626696911124452e-07 0 0
31 4.342328567672116e-06 0 0
32 0.9874156355665177 1 1
33 2.843751105775282e-05 0 0
34 3.236924346525433e-08 0 0
35 0.27697236494443667 0 1
36 0.14784869408419235 0 0
37 0.03156364629119396 0 0
38 0.16525062765896767 0 0
39 0.0012374656681106468 0 0
40 1.5382823203207708e-05 0 0
41 2.1279421610522907e-06 0 0
42 0.0003967080752572522 0 0
43 1.0327729088123195e-08 0 0
44 0.000630813748565727 0 0
45 1.0371470987490646e-06 0 0
46 3.9730681253962645e-06 0 0
47 1.6932858246215536e-11 0 0
48 0.9990067127910631 1 1
49 0.0019145073833048735 0 0
50 1.124214630265316e-09 0 0
51 0.6139370735492999 1 0
52 0.0014629452034990076 0 0
53 1.940288142078787e-08 0 0
54 1.8929274206361462e-05 0 0
55 1.856231680151428e-07 0 0
56 1.8854124957786457e-06 0 0
57 4.6841127397216937e-07 0 0
58 0.17172098689544316 0 0
59 0.00045011517770411527 0 0
60 0.00039294305439104926 0 0
61 0.005505955803078649 0 0
62 5.06614323253658e-06 0 0
63 1.2150499345024073e-09 0 0
64 0.00026285035108161015 0 0
65 0.6917461828800671 1 1
66 0.0002545167188762126 0 0
67 0.015159227784098207 0 0
68 0.02023301418187344 0 0
69 2.6181735108123174e-09 0 0
70 0.9995564430722036 1 1
71 0.0007116528020034166 0 0
72 4.186796927975304e-06 0 0
73 0.0002764268793101654 0 0
74 0.0005066348888333936 0 0
75 0.9928430927053346 1 0
76 0.00937170685253198 0 0
77 4.397522744180943e-08 0 0
78 0.0002525360267664811 0 0
79 0.0022884157383440728 0 0
80 0.1031422078253145 0 0
81 0.5500715125557201 1 0
82 0.0008017070730645485 0 0
83 0.000825914316258679 0 0
84 0.015776169789858033 0 0
85 7.617988527802899e-05 0 0
86 0.0013292525216120818 0 0
87 0.00018203964881386756 0 0
88 0.001295982513363557 0 0
89 0.0003327347597836822 0 0
90 0.00017871892486012926 0 0
91 0.004399747154829944 0 0
92 9.64079857688115e-06 0 0
93 1.509401984264599e-05 0 0
94 3.715056589646017e-05 0 0
95 3.427565328460978e-07 0 0
96 8.484968626591139e-07 0 1
97 0.07866599300848115 0 0
98 0.41801707252999604 0 0
99 0.013128502126386853 0 0
100 0.010621856768899445 0 0
101 7.283137899826042e-05 0 0
102 0.04688232005878462 0 0
103 0.0010129840558166666 0 0
104 4.009251826098828e-05 0 1
105 0.15078794224159248 0 0
106 0.9868501587298734 1 1
107 0.00020674733650598168 0 0
108 0.0009177210866739266 0 0
109 0.002877753830064516 0 0
110 4.4513625573791206e-05 0 0
111 0.0017474364581719518 0 0
112 0.11571405123153539 0 0
113 0.041995746926515455 0 0
114 0.005039590053042136 0 0
115 9.463702147405865e-05 0 0
116 5.521500759000851e-06 0 0
117 2.1652614138441825e-05 0 0
118 0.03166395817198421 0 0
119 0.22428658859766598 0 0
120 0.0006272376786946485 0 0
121 0.9796963208203281 1 1
122 7.775149071740652e-07 0 0
123 1.3612142122048458e-07 0 0
124 0.03868822765306101 0 0
125 9.527453607873756e-07 0 0
126 0.00027269281905683277 0 0
127 0.9981620508656637 1 1
128 1.8866840894075093e-12 0 0
129 2.3130105162327496e-06 0 0
130 3.5187783673685016e-10 0 0
131 6.118058575403877e-05 0 0
132 3.6588646366366057e-06 0 0
133 0.0013707855118663735 0 0
134 2.7071104326291738e-05 0 0
135 7.986030190279929e-29 0 0
136 0.05991136809511446 0 0
137 7.378672280354353e-09 0 0
138 0.004616405832271416 0 0
139 0.003831422439164148 0 0
140 0.002829897011377157 0 0
141 2.3439082138346946e-05 0 0
142 0.003675243635694115 0 0
143 2.327087234100527e-12 0 0
144 0.0004484383243800699 0 0
145 5.62179407054895e-05 0 0
146 0.00020842331302430532 0 0
147 0.9996156848207401 1 1
148 7.447075692107105e-06 0 0
149 0.012698179220962441 0 0
150 0.005627912255074372 0 0
151 0.0001357414450678739 0 0
152 0.0035181840378975546 0 0
153 0.9497119426833708 1 1
154 0.0038279295245568323 0 0
155 0.03860149410626771 0 0
156 0.9818603753757653 1 1
157 0.011643363524657892 0 0
158 2.8001998752665644e-07 0 0
159 0.041461446434583375 0 1
160 1.2288713303879198e-05 0 0
161 0.0009107983842738072 0 0
162 0.002073940900753208 0 0
163 0.785208016340068 1 1
164 0.002882456929573372 0 0
165 9.473471243704709e-08 0 0
166 0.0015203607474127297 0 0
167 2.5047887981498844e-09 0 0
168 0.00014999335495554576 0 0
169 0.8659668964641082 1 1
170 0.002974990712059194 0 0
171 0.0009741184725042753 0 0
172 0.0015722339153229276 0 0
173 0.3466639221908462 0 0
174 0.0001113165588446989 0 0
175 8.160215685062116e-06 0 0
176 1.0124569536742676e-07 0 0
177 0.00014005524317999978 0 0
178 0.7547118235574609 1 1
179 2.831949075622268e-08 0 0
180 0.996945906360837 1 1
181 0.0032926108640090536 0 0
182 0.001029396649767505 0 0
183 5.695650521707305e-05 0 0
184 0.4669474566342359 0 0
185 7.180977018887741e-05 0 0
186 0.01732668573165185 0 0
187 5.909541097498359e-07 0 0
188 0.005720136628994534 0 0
189 0.073921103610731 0 0
190 0.0008031811774995989 0 0
191 0.000720622175755401 0 0
192 0.05466252965103483 0 0
193 0.03577187068096711 0 0
194 0.0005897518414914089 0 0
195 9.278477067523743e-06 0 0
196 0.00786004681237884 0 0
197 0.6812216396770637 1 0
198 0.005300528635625374 0 0
199 0.0339334634472274 0 0
200 1.613570625685937e-08 0 0
201 0.002097283096778016 0 0
202 8.607731298807478e-07 0 0
203 0.00101172346307328 0 0
204 9.346960867158814e-06 0 0
205 1.8799005552522863e-14 0 0
206 0.6044315042519944 1 0
207 1.20869977391434e-06 0 0
208 1.057941938258899e-05 0 0
209 2.9342617330599e-07 0 0
210 0.0822348290082486 0 0
211 0.0008619661315560285 0 0
212 0.9926212553522664 1 1
213 0.0009743120494089128 0 0
214 0.03731677237609063 0 0
215 5.332140366706865e-05 0 0
216 0.01120191243695316 0 0
217 0.00016036668533658588 0 0
218 0.0003150349799157709 0 0
219 0.0027622145636097975 0 0
220 0.5976690673249297 1 1
221 0.02414702271760536 0 0
222 0.26542912827507886 0 0
223 0.008428775831550554 0 0
224 0.01468904449404614 0 1
225 4.9261985222688105e-08 0 0
226 0.0014790710418545038 0 0
227 0.0005306232537531562 0 0
228 0.7476179834431024 1 1
229 3.7717578333744913e-06 0 0
230 1.0912966013244507e-10 0 0
231 3.1078646553158787e-08 0 0
232 6.905522370984804e-06 0 0
233 1.923620186017583e-05 0 0
234 4.051977044904781e-07 0 0
235 0.6832294004370523 1 0
236 1.392372358637526e-09 0 0
237 0.016819575063808493 0 0
238 0.004404767300461532 0 1
239 0.03238426904534959 0 0
240 0.9547375566067136 1 0
241 3.475883831244448e-05 0 0
242 7.946138570730431e-07 0 0
243 3.964775358170643e-06 0 0
244 0.0020107274123240173 0 0
245 0.0013258479173463024 0 0
246 0.011879458973564164 0 0
247 0.0008639048921862172 0 1
248 6.173624509330036e-06 0 0
249 0.00989852359394996 0 0
250 0.0010271446578919532 0 0
251 3.5079868771079254e-05 0 0
252 1.8449589646545597e-09 0 0
253 0.0008746683076384067 0 0
254 1.5978897804852596e-07 0 0
255 0.44356365061317815 0 0
256 3.8419976329630885e-07 0 0
257 2.2747923828734697e-16 0 0
258 6.211856660893292e-07 0 0
259 6.760649137427613e-11 0 0
260 2.089521962231697e-05 0 0
261 6.9039138033951065e-09 0 0
262 5.387388933477524e-05 0 0
263 0.04688379896989737 0 0
264 0.7439877253074529 1 1
265 0.00012495405101549766 0 0
266 8.752689825542923e-05 0 0
267 0.08057331613163576 0 0
268 0.0005469489455443519 0 0
269 0.0006739825765663609 0 0
270 0.0002777865477880689 0 0
271 0.08283614191760996 0 0
272 1.3701287639526809e-05 0 0
273 0.04325408704262763 0 0
274 2.39718319761311e-06 0 0
275 0.0521376337798435 0 0
276 1.6919416911919815e-06 0 0
277 2.7848890983464675e-07 0 0
278 2.8005574484458567e-06 0 0
279 7.605333160807179e-10 0 0
280 0.00028109325578833165 0 0
281 0.3574259489644312 0 1
282 0.003834462443424901 0 0
283 3.6384037571158345e-08 0 0
284 0.00010610193465152941 0 0
285 0.00013836390542296882 0 0
286 0.0011441169728077453 0 0
287 2.3888126926977017e-06 0 0
288 0.003917915564252826 0 0
289 1.403124604400231e-07 0 0
290 0.00029155415931695695 0 0
291 0.10867860078186585 0 0
292 0.01960336615352176 0 0
293 0.001303632525866107 0 0
294 0.5911311107813885 1 0
295 0.00041288876513761725 0 0
296 0.0006491847204617417 0 0
297 0.0005706729886567821 0 0
298 0.000135195375583605 0 0
299 8.41552130963081e-11 0 0
300 0.00021810709835978333 0 0
301 0.0004262389156814819 0 0
302 0.002797693705883514 0 0
303 0.0028141272451039758 0 0
304 0.0001893361132705304 0 0
305 0.011766583360009533 0 0
306 0.00038150565906101163 0 0
307 3.680387274882431e-05 0 0
308 1.512110556714211e-07 0 0
309 0.0019360842639156732 0 0
310 0.19750357162480928 0 1
311 0.002381225217855925 0 0
312 6.819419562288248e-05 0 0
313 0.9490044763341028 1 1
314 0.0007060174035355894 0 0
315 0.024345539709335843 0 0
316 4.204482308906365e-17 0 0
317 6.58306910109779e-06 0 0
318 0.021063167299892778 0 0
319 0.0004395649528487721 0 0
320 9.231627105293638e-15 0 0
321 0.0009650352085285704 0 0
322 2.7963665130041946e-07 0 0
323 0.027477371594956043 0 0
324 0.631038946739228 1 0
325 0.00011565274763691379 0 0
326 0.021913571022152405 0 0
327 0.0009117929895119153 0 0
328 6.541216531198311e-07 0 0
329 9.775423285467914e-05 0 0
330 2.381054290663984e-05 0 0
331 1.2198039807170778e-06 0 0
332 0.9073257783758764 1 1
333 0.0003120753973377699 0 0
334 0.7706443135393969 1 1
335 1.691038994047906e-07 0 0
336 0.0033748485981994216 0 0
337 0.0037538464634592947 0 0
338 0.0002815899308064081 0 0
339 0.0036393107550555157 0 0
340 0.004885398987642612 0 0
341 0.007896296677869629 0 0
342 2.4620601765191864e-05 0 0
343 1.7091704535228172e-11 0 0
344 0.0019841422703759234 0 0
345 1.0754431232146953e-05 0 0
346 0.0001472545476972362 0 0
347 2.845428687156727e-10 0 0
348 5.415689719218935e-10 0 0
349 7.680699634421789e-05 0 0
350 0.0031260809564626407 0 0
351 0.0007209748241943605 0 0
352 1.991237833241427e-07 0 0
353 4.0974299622335824e-05 0 0
354 0.02722362694841546 0 0
355 0.00020020983250900303 0 0
356 0.004668663995483242 0 0
357 0.0073887422885379585 0 0
358 4.0067329272121137e-10 0 0
359 5.803605898144e-07 0 0
360 2.4543388052073694e-07 0 0
361 0.00337516724171416 0 0
362 2.1699113452397694e-05 0 0
363 1.968222904138215e-05 0 0
364 0.997414379728417 1 1
365 0.00749392245939205 0 0
366 0.0012742156048853146 0 0
367 0.0006933482908299027 0 0
368 0.11623026453522457 0 0
369 0.03028655307306416 0 0
370 6.965226454150569e-05 0 0
371 0.049029704621675864 0 0
372 0.0020796136165167176 0 0
373 5.0123349853525674e-05 0 0
374 3.6583516814629455e-10 0 0
375 9.6132755687422e-05 0 0
376 0.021942845287642117 0 0
377 2.802277581841938e-05 0 0
378 0.05246548595318223 0 0
379 1.0093523021991698e-05 0 0
380 1.7016520613633834e-07 0 0
381 0.003704231327100087 0 0
382 0.2048479361569494 0 0
383 0.2911248385418635 0 0
384 4.85745864074554e-05 0 0
385 0.12923968058439386 0 0
386 0.009370635768700078 0 0
387 0.0001615330524291042 0 0
388 0.0029387945129259953 0 0
389 0.015252824491519107 0 0
390 0.0004534669118718507 0 0
391 0.002283031364207235 0 0
392 9.086598750486334e-10 0 0
393 0.009117493802265602 0 0
394 0.005511253435612825 0 0
395 1.9440712273118662e-10 0 0
